Rental_Location_ID,bus_stop,park,school,subway,riverside
ST-1171,6,2,0,2,1
ST-1172,10,4,1,0,0
ST-1173,11,3,1,0,0
ST-1174,10,1,0,1,0
ST-1178,17,1,0,2,0
ST-1179,13,6,6,1,0
ST-1180,17,2,1,1,0
ST-1181,15,4,2,1,2
ST-1182,18,3,4,0,3
ST-1184,17,6,3,2,2
ST-1185,17,4,2,2,2
ST-1186,17,6,3,2,2
ST-1245,8,2,2,2,0
ST-1246,14,3,0,1,0
ST-1247,15,8,4,2,0
ST-1248,12,6,1,0,0
ST-1364,14,1,1,0,2
ST-1365,11,3,0,1,0
ST-1407,4,5,3,0,0
ST-1433,11,4,2,2,1
ST-1559,21,6,4,0,3
ST-1561,9,0,0,0,0
ST-1562,12,1,2,0,0
ST-1566,12,3,2,1,3
ST-1568,16,3,1,2,0
ST-1571,16,4,3,1,0
ST-1573,13,5,5,0,3
ST-1574,13,6,3,0,3
ST-1575,10,4,1,1,0
ST-1576,8,2,0,2,1
ST-1577,30,2,0,2,0
ST-1578,4,0,0,0,2
ST-1679,34,2,1,0,0
ST-1703,4,1,1,0,2
ST-777,5,2,3,0,1
ST-779,22,7,1,0,0
ST-782,13,5,3,0,3
ST-783,11,5,1,1,1
ST-784,6,0,1,0,1
ST-786,11,4,3,2,0
ST-787,28,1,1,2,0
ST-788,9,3,0,2,1
ST-790,12,2,1,0,0
ST-791,11,4,1,1,1
ST-792,8,0,1,1,0
ST-793,13,3,4,1,1
ST-794,10,2,1,1,1
ST-795,10,4,2,1,1
ST-796,10,2,0,0,0
ST-798,7,2,2,0,1
ST-799,17,2,0,1,0
ST-801,11,2,1,2,0
ST-802,18,0,0,0,0
ST-804,10,1,1,1,3
ST-806,11,0,1,0,1
ST-807,11,0,1,0,0
ST-808,13,5,4,0,0
ST-809,10,1,5,0,0
ST-810,29,3,3,0,0
ST-811,9,1,1,1,0
ST-812,13,1,2,1,0
ST-813,13,1,0,0,0
ST-814,15,9,1,0,0
ST-815,14,3,3,2,0
ST-816,28,0,3,0,0
ST-817,14,5,2,0,0
ST-819,15,10,3,0,0
ST-820,12,1,3,0,3
ST-822,14,8,5,1,0
ST-823,14,4,3,1,2
ST-937,14,5,3,1,0
ST-953,10,4,2,1,1
ST-956,15,2,1,0,0
ST-957,14,1,2,0,3
ST-958,25,2,2,0,0
ST-959,14,3,0,1,0
ST-960,17,10,3,1,0
ST-961,18,1,1,0,0
ST-962,13,1,1,1,0
ST-963,13,4,0,2,0
ST-966,15,1,2,0,0
ST-1560,11,2,4,0,0
ST-2690,12,3,0,0,0
ST-2474,0,1,1,0,0
ST-2788,21,2,2,0,0
ST-2837,8,3,2,1,0
ST-2839,5,0,0,0,1
ST-2868,14,5,3,0,0
ST-2869,11,9,2,1,0
ST-2926,13,5,6,0,3
ST-3078,8,4,3,1,1
ST-3096,11,2,1,0,0
ST-3164,9,3,3,1,0
ST-3179,13,3,1,0,2
ST-3185,21,5,1,1,0
ST-2870,15,2,0,0,0
ST-2927,13,6,6,0,3
ST-3066,4,0,0,2,1
ST-3108,18,4,1,3,0
ST-3109,12,3,3,0,0
ST-3112,24,0,1,2,2
ST-3115,15,1,0,1,0
ST-3178,8,1,1,1,3
ST-3254,13,3,0,0,1
ST-1177,14,2,1,0,0
ST-2684,16,4,0,0,0
ST-2847,12,2,1,0,2
ST-2882,15,2,1,2,0
ST-3111,14,2,0,2,0
ST-3243,12,2,2,0,0
ST-3208,7,5,1,3,0
ST-3207,15,1,0,1,0
ST-1366,15,2,1,2,0
ST-1564,16,0,2,0,3
ST-1680,17,3,0,1,0
ST-1882,14,10,9,1,0
ST-1883,14,0,0,4,0
ST-1884,16,1,0,1,1
ST-1888,11,4,0,0,2
ST-1889,19,4,4,1,2
ST-1892,21,5,1,0,0
ST-1893,13,4,4,0,3
ST-1895,9,1,3,1,1
ST-1896,10,2,0,1,0
ST-1897,16,4,5,1,2
ST-2673,14,6,6,0,1
ST-2675,11,5,1,0,0
ST-2677,19,7,1,0,0
ST-2678,11,5,3,1,0
ST-2679,16,2,0,1,0
ST-2680,19,12,3,1,0
ST-2681,16,3,1,0,0
ST-2682,13,3,1,1,1
ST-2685,8,2,1,0,2
ST-2686,15,5,4,0,3
ST-2688,2,0,3,1,1
ST-2689,24,4,1,1,0
ST-2691,15,1,2,0,0
ST-2838,7,3,1,0,0
ST-2867,15,4,3,1,2
ST-2925,12,5,5,0,3
ST-3077,27,0,3,1,1
ST-3079,16,0,0,1,1
ST-3240,12,0,1,0,0
ST-3245,6,1,0,0,2
ST-3268,11,2,0,1,3
ST-789,15,4,1,1,0
ST-954,9,4,3,0,0
ST-1885,13,2,1,1,0
ST-2907,2,3,2,0,0
ST-1881,14,8,6,1,0
ST-2671,10,2,0,1,0
ST-818,12,5,1,1,3
ST-2674,25,0,3,0,0
ST-2676,13,3,1,0,0
ST-821,21,2,0,0,3
ST-1879,14,3,5,2,0
ST-1880,14,3,5,3,3
ST-1886,9,2,0,1,3
ST-1891,15,4,1,0,0
ST-797,17,0,1,0,0
