Rental_location_ID,ST-786,ST-3108,ST-963,ST-953,ST-1568,ST-2682,ST-2882,ST-789,ST-962,ST-784,ST-1366,ST-3164,ST-961,ST-1883,ST-1246,ST-3208,center
ST-786,0,2.83,0.837,1.371,2.163,1.78,2.184,1.373,1.314,2.791,1.463,2.426,1.283,1.468,2.613,1.796,4.732
ST-3108,2.639,0,2.172,3.687,1.278,3.251,1.299,1.898,2.397,3.647,1.617,3.587,2.366,1.688,0.821,1.667,5.785
ST-963,0.467,2.363,0,1.515,1.695,1.924,1.717,0.905,0.846,2.939,1.158,2.879,0.816,1.164,2.145,1.328,4.876
ST-953,2.485,3.785,2.999,0,3.052,1.612,2.737,3.402,3.475,1.42,2.462,1.055,3.445,2.467,3.568,3.957,3.361
ST-1568,1.861,1.2,1.394,2.908,0,2.42,0.468,0.822,1.31,2.816,0.786,2.756,1.28,0.857,0.982,1.777,4.954
ST-2682,0.873,3.38,1.387,0.497,3.159,0,2.194,1.923,1.863,1.918,1.919,1.553,1.833,2.018,3.162,2.345,4.629
ST-2882,1.297,1.49,1.678,2.344,0.756,1.952,0,1.106,1.594,2.348,0.166,2.288,1.564,0.389,1.272,2.061,4.486
ST-789,1.631,1.458,1.163,2.678,1.236,3.087,0.811,0,1.08,3.16,1.129,3.099,1.049,1.201,1.24,1.547,5.405
ST-962,1.61,2.151,1.142,2.657,1.93,3.764,1.505,0.694,0,5.659,1.823,3.793,0.563,1.894,1.933,1.116,6.098
ST-784,2.849,4.89,3.363,2.291,3.579,1.976,2.659,3.898,3.839,0,2.384,1.419,3.808,2.389,4.111,4.321,2.925
ST-1366,1.463,1.323,1.511,2.485,0.59,2.118,0.166,0.94,1.428,2.515,0,2.454,1.397,0.556,1.106,1.895,4.652
ST-3164,1.43,4.339,1.943,1.243,3.715,0.556,3.29,2.479,2.42,2.238,2.569,0,2.389,2.574,4.846,2.902,3.851
ST-961,1.882,3.028,1.948,2.738,2.656,3.2,2.231,1.42,0.774,5.096,2.573,3.793,0,2.579,2.811,1.994,6.099
ST-1883,1.468,3.079,2.067,2.49,1.769,2.124,0.83,1.496,1.983,2.52,0.556,2.459,1.953,0,2.3,2.451,4.097
ST-1246,2.297,0.779,1.83,3.275,0.935,2.909,0.957,1.567,2.054,3.305,1.275,3.245,2.024,1.346,0,1.325,5.519
ST-3208,1.796,1.858,1.328,2.843,2.466,3.066,2.035,1.23,1.171,4.383,2.353,4.323,1.651,2.424,1.64,0,6.609
center,4.935,5.902,6.081,4.176,4.702,3.861,4.772,5.379,5.724,2.982,4.439,3.304,5.955,5.533,5.33,6.206,0
