Rental_location_ID,ST-1561,ST-1577,ST-1896,ST-3115,ST-809,ST-2684,ST-816,ST-817,ST-966,ST-812,ST-959,ST-814,ST-1562,ST-811,ST-960,center
ST-1561,0,5.956,6.341,4.625,3.727,3.305,4.25,4.122,4.474,4.396,5.364,3.953,2.198,4.496,3.264,3.568
ST-1577,10.995,0,0.563,1.386,3.081,3.641,2.327,2.105,1.296,1.72,1.46,1.72,4.711,1.276,2.351,5.365
ST-1896,10.445,1.085,0,0.824,2.492,3.079,2.519,1.514,0.733,1.157,0.898,1.157,4.16,0.713,1.788,4.806
ST-3115,9.952,1.84,0.752,0,2.763,3.35,2.067,1.092,1.005,1.429,1.169,1.429,3.697,1.51,1.653,4.35
ST-809,10.626,3.583,2.923,2.171,0,0.514,4.007,2.576,1.909,1.831,2.5,1.444,4.341,1.931,1.781,2.137
ST-2684,10.481,3.922,3.36,2.509,0.422,0,3.862,3.688,2.248,2.17,2.57,1.782,4.196,2.219,2.119,2.13
ST-816,10.765,1.706,2.311,2.033,3.858,3.437,0,1.874,3,2.922,3.202,2.478,3.504,3.022,2.436,5.162
ST-817,8.89,2.604,2.576,1.192,1.984,1.563,2.245,0,1.126,1.048,2.016,0.604,2.606,1.147,0.561,3.288
ST-966,9.736,2.588,1.174,1.175,1.8,2.387,2.815,1.577,0,0.802,1.305,0.448,3.451,0.902,1.079,4.097
ST-812,10.991,2.209,1.758,2.436,1.87,2.457,4.272,2.841,0.686,0,0.968,1.709,4.706,0.1,2.046,4.104
ST-959,10.39,1.24,0.626,0.91,2.455,3.024,2.605,1.63,0.678,1.102,0,1.102,4.105,0.658,1.733,4.751
ST-814,9.288,3.043,3.015,1.153,1.762,1.942,2.447,1.129,0.898,0.82,1.788,0,3.003,0.92,0.631,3.649
ST-1562,7.478,5.235,4.39,3.638,3.98,3.558,3.529,3.479,3.579,3.501,4.807,3.057,0,3.601,3.349,4.155
ST-811,11.008,2.185,1.571,1.854,3.214,3.659,3.549,2.574,1.296,0.976,0.944,1.72,4.723,0,2.351,5.405
ST-960,8.945,2.71,2.05,1.297,2.002,1.521,2.299,0.795,1.138,1.061,2.029,0.617,2.66,1.16,0,3.342
center,11.496,7.319,7.072,6.32,2.284,3.347,5.613,5.449,4.065,5.723,4.347,5.279,8.297,3.996,4.644,0
